group,item,sentence,lexicon,quantifier,noun,condition,imga,imgb
NA,1,A menina encontrou muito musgo na praia.,NA,NA,NA,NA,img1.png,img2.png
NA,2,O edifício Empire State era mais alto que o edifício Chrysler em Nova York.,NA,NA,NA,NA,img3.png,img4.png
NA,3,A anciã coletou muito cacto na mata.,NA,NA,NA,NA,img1.png,img2.png
NA,4,O piloto viajava tanto quanto o motorista.,NA,NA,NA,NA,img3.png,img4.png
NA,5,O carteiro acariciou muitos cachorros na casa.,NA,NA,NA,NA,img1.png,img2.png
NA,6,O banqueiro tinha mais dinheiro do que o governo da Rússia.,NA,NA,NA,NA,img3.png,img4.png
NA,7,O professor leu muitos livros na biblioteca.,NA,NA,NA,NA,img1.png,img2.png
NA,8,A cozinheira comia tanto quanto cozinhava.,NA,NA,NA,NA,img3.png,img4.png
